id,path
19196,7 8 17 21 22 33 14 12 9 10
17844,7 8 39 41 43 11 21 22 33 108 18 10
483,1 8 11 12 69 9 4
21569,1 8 43 68 43 44 19
3070,7 8 74 74 43 39 11 12 9 4
18729,20 43 41 41 11 21 22 18 10
13121,20 43 17 88 32 21 26 70 71 27 72 4
18985,7 8 51 43 43 11 88 32 21 22 18 10
5336,1 8 37 23 24 22 33 36 40 9 10
12028,7 8 43 37 38 44 19
13412,1 8 39 56 30 31 54 40 9 10
24035,1 8 43 11 21 32 33 34 33 31 54 40 9 4
18730,20 43 41 41 11 21 22 18 19
8937,1 8 39 56 30 31 54 40 9 4
14444,7 8 11 73 32 33 34 22 61 12 9 10
10563,7 8 37 38 44 75 19
859,20 17 11 21 22 12 9 10
18073,7 8 39 11 21 22 12 16 9 10
860,20 17 11 21 22 12 9 4
16802,7 8 39 11 21 22 12 16 9 4
12613,1 8 17 32 33 22 12 9 4
10406,1 8 43 11 21 32 33 34 33 31 54 40 9 10
26721,65 21 32 21 47 21 22 49 9 4
908,7 8 17 51 77 21 22 49 9 4
18986,7 8 51 43 43 11 88 32 21 22 18 19
24234,20 43 11 47 48 22 18 19
26720,65 21 32 21 47 21 22 49 9 10
907,7 8 17 51 77 21 22 49 9 10
7515,1 8 39 43 43 11 21 22 49 9 10
24233,20 43 11 47 48 22 18 10
12706,20 11 21 21 21 21 21 21 21 22 18 19
19891,1 8 73 21 32 21 47 21 22 48 12 9 4
25676,20 51 43 17 18 44 9 4
9531,1 8 43 11 32 33 34 33 38 9 4
16017,20 43 39 43 43 11 21 22 62
9532,1 8 43 11 32 33 34 33 38 9 10
25113,1 8 39 77 21 22 48 12 9 10
12705,20 11 21 21 21 21 21 21 21 22 18 10
6034,1 8 39 68 69 9 10
17886,1 8 60 17 18 9 4
2907,7 8 11 21 22 24 38 9 10
17887,1 8 60 17 18 9 10
2356,1 8 58 47 48 22 33 29 52 9 10
10576,7 8 43 28 30 32 33 61 19
2357,1 8 58 47 48 22 33 29 52 9 4
2912,7 8 11 21 22 24 38 9 4
23403,1 8 11 21 22 24 38 42 9 4
18473,20 41 39 43 43 11 21 22 12 40 9 10
26751,1 8 37 38 125 9 4
17409,7 8 66 43 53 32 33 22 12 67 9 10
9311,1 8 39 68 69 9 4
23402,1 8 11 21 22 24 38 42 9 10
15833,7 8 58 47 48 33 31 29 69 9 4
18474,20 41 39 43 43 11 21 22 12 40 9 4
22874,1 8 17 41 42 18 42 9 10
25675,20 51 43 17 18 44 9 10
2251,1 8 79 98 11 21 22 12 9 10
10361,1 8 66 35 36 9 4
26246,7 8 17 13 30 31 14 18 10
11297,7 8 74 74 43 39 11 12 9 10
5638,1 8 66 35 36 9 10
26872,1 8 73 21 32 21 47 21 22 48 12 9 10
2250,1 8 79 98 11 21 22 12 9 4
26750,1 8 37 38 125 9 10
12190,1 8 11 12 115 38 9 10
5319,7 8 23 24 22 18 10
11141,20 79 28 32 33 22 61 19
3043,7 8 11 21 22 33 31 36 44 9 4
12191,1 8 11 12 115 38 9 4
7309,1 8 28 30 31 57 9 10
24282,7 8 50 47 48 22 113 22 6 10
24281,7 8 50 47 48 22 113 22 6 4
5320,7 8 23 24 22 18 19
26083,7 8 11 21 22 33 31 36 44 9 10
9912,7 8 66 43 53 32 33 22 12 67 9 4
17221,20 43 41 17 21 32 33 34 22 18 9 10
24878,7 8 43 41 11 21 22 18 10
26860,1 8 41 39 43 11 21 47 21 22 12 9 10
9768,7 8 39 28 32 33 22 33 29 40 9 4
22532,1 8 17 43 11 47 21 22 18 10
23352,7 8 11 21 22 24 36 42 9 4
15330,1 8 41 42 42 75 19
8766,20 77 21 22 90
14341,7 8 11 32 21 47 21 22 48 12 9 4
8765,20 77 21 22 62
25456,7 8 11 21 22 24 36 42 9 10
2159,7 8 17 21 32 21 47 21 22 61 9 4
2158,7 8 17 21 32 21 47 21 22 61 9 10
7900,1 8 35 30 31 31 36 9 4
8050,1 8 39 43 43 11 21 22 49 9 4
9741,7 8 73 32 21 23 21 22 61 9 4
8102,7 8 39 11 21 22 12 40 40 9 4
7899,1 8 35 30 31 31 36 9 10
21761,1 8 28 30 31 29 69 16 9 4
152,1 8 39 28 32 33 22 48 12 9 10
8101,7 8 39 11 21 22 12 40 40 9 10
12021,20 41 43 43 11 21 32 33 34 33 54 9 10
12022,20 41 43 43 11 21 32 33 34 33 54 9 4
902,7 8 11 12 75 76 9 4
5071,7 8 13 32 33 22 12 9 10
6664,7 8 11 21 22 24 36 9 10
18995,7 8 80 13 32 33 22 24 31 14 81 9 4
13129,1 17 21 88 32 21 22 49 9 4
153,1 8 39 28 32 33 22 48 12 9 4
2077,7 8 11 21 22 24 36 9 4
12207,7 8 51 74 74 17 53 54 9 4
16752,1 8 28 30 31 29 69 16 9 10
26279,7 8 51 74 74 17 53 54 9 10
13273,7 8 39 28 30 32 33 22 12 9 10
21646,7 8 39 28 30 32 33 22 12 9 4
2982,7 8 17 21 22 33 14 81 9 4
24427,1 8 73 32 33 34 22 18 19
20613,1 8 116 21 21 22 22 78 9 4
24506,7 8 60 17 23 21 22 24 14 9 4
18478,20 35 23 24 22 18 40 9 10
19080,7 8 41 56 32 33 22 12 40 9 4
24426,1 8 73 32 33 34 22 18 10
9657,20 41 74 43 11 21 32 33 34 22 12 9 4
6833,7 8 60 17 23 21 22 24 14 9 10
8173,7 8 50 47 48 22 33 38 81 44 9 4
1856,7 8 50 47 48 22 33 38 81 44 9 10
3377,20 41 74 43 11 21 32 33 34 22 12 9 10
17159,7 8 51 13 14 19
104,7 8 37 38 9 4
4092,1 8 28 32 33 49 9 4
4752,1 8 28 32 33 49 9 10
18256,20 13 103 23 24 22 78 40 9 4
8447,1 8 17 21 22 33 29 18 9 4
23089,20 11 47 48 104 14 40 9 10
23088,20 11 47 48 104 14 40 9 4
6749,1 8 17 21 22 33 29 18 9 10
26861,1 8 41 39 11 21 22 61 9 4
9206,20 41 17 41 42 42 75 18 10
2408,7 8 13 32 33 22 12 9 4
12975,1 8 50 47 48 22 33 40 9 10
12974,1 8 50 47 48 22 33 40 9 4
901,7 8 11 12 75 76 9 10
114,7 8 37 38 9 10
9742,7 8 73 32 21 23 21 22 61 9 10
5980,20 39 60 17 21 22 18 19
17882,1 8 35 32 21 22 18 10
17442,7 8 39 17 28 32 33 22 12 40 9 4
5979,20 39 60 17 21 22 18 10
13210,20 79 73 32 21 22 48 12 9 10
10422,1 8 17 51 52 9 4
2724,7 8 66 60 17 21 22 12 9 4
26330,7 8 39 11 21 32 33 34 33 31 38 40 67 9 10
22319,20 41 39 11 21 47 21 22 61 19
2723,7 8 66 60 17 21 22 12 9 10
13209,20 79 73 32 21 22 48 12 9 4
10421,1 8 17 51 52 9 10
4051,20 74 43 11 32 33 34 12 9 10
7987,20 17 21 32 33 34 22 18 42 9 10
14203,1 8 41 74 74 74 11 21 22 12 9 4
26248,1 8 17 17 21 32 33 34 33 31 29 18 9 10
16641,1 8 41 74 74 74 11 21 22 12 9 10
17077,1 8 39 60 17 47 21 47 21 22 18 10
